datetime,open,high,low,close,ma200,price_vs_ma200,ma200_slope,body,upper_shadow,lower_shadow,hl_range,return_1,return_5,signal,d_ma200,d_price_vs_ma200,d_ma200_slope
2021-10-14 00:00:00,1.15996,1.16033,1.15935,1.15971,1.1722793,-1.072210351236263,-0.04374602204728773,-0.0002500000000000835,0.00036999999999998145,0.00035999999999991594,0.0009799999999999809,0.005427196670857004,0.0059242939421275675,1,1.193891162276268,-2.8422120858584377,-0.14681563839769154
2021-10-14 04:00:00,1.15996,1.16028,1.15976,1.16009,1.1722045,-1.0334800796277464,-0.0406248622280735,0.00012999999999996348,0.00018999999999991246,0.00020000000000020002,0.000520000000000076,0.00032766812392748257,0.006079370035036558,1,1.193891162276268,-2.8422120858584377,-0.14681563839769154
2021-10-14 08:00:00,1.15996,1.16054,1.15899,1.15957,1.1721020999999998,-1.0691986645190574,-0.040151021740329786,-0.0003900000000001125,0.0005799999999998029,0.0005800000000000249,0.0015499999999999403,-0.0004482410847435059,0.005201244831263052,1,1.193891162276268,-2.8422120858584377,-0.14681563839769154
2021-10-14 12:00:00,1.15996,1.16069,1.15952,1.16025,1.17200075,-1.0026230785261896,-0.03964295582075251,0.00028999999999990145,0.00043999999999999595,0.00043999999999999595,0.0011699999999998933,0.0005864242779651807,0.005747126436781436,1,1.193891162276268,-2.8422120858584377,-0.14681563839769154
2021-10-14 16:00:00,1.15996,1.16103,1.15931,1.16039,1.1719059,-0.9826642224431179,-0.03840982800278742,0.00042999999999993044,0.0006399999999999739,0.0006500000000000394,0.0017199999999999438,0.00012066365007545876,0.006016732411461279,1,1.193891162276268,-2.8422120858584377,-0.14681563839769154
2021-10-14 20:00:00,1.15996,1.16046,1.15911,1.15962,1.1718081,-1.040110577832661,-0.04019519921575045,-0.00034000000000000696,0.0004999999999999449,0.0005100000000000104,0.0013499999999999623,-0.0006635700066356387,-7.760560829861429e-05,1,1.193891162276268,-2.8422120858584377,-0.14681563839769154
2021-10-15 00:00:00,1.15907,1.1607,1.15888,1.15973,1.1717051500000002,-1.0220275979840376,-0.0425992222346782,0.0006599999999998829,0.0009700000000001374,0.0001900000000001345,0.0018200000000001548,9.48586605955537e-05,-0.00031032075097636724,1,1.1935511976480484,-2.8821255098372474,-0.14933918280495517
2021-10-15 04:00:00,1.15908,1.16084,1.15888,1.15979,1.1716026,-1.0082428973783295,-0.042615741410229974,0.0007099999999999884,0.0010499999999999954,0.00020000000000020002,0.001960000000000184,5.173617997300539e-05,0.00018972550169471525,1,1.1935511976480484,-2.8821255098372474,-0.14933918280495517
2021-10-15 08:00:00,1.1591,1.16091,1.15888,1.15983,1.1714993,-0.996099613546513,-0.04278580879747853,0.0007299999999998974,0.001080000000000192,0.000220000000000109,0.0020300000000001983,3.448900231917129e-05,-0.00036199095022626526,1,1.1935511976480484,-2.8821255098372474,-0.14933918280495517
2021-10-15 12:00:00,1.15911,1.16018,1.15888,1.15955,1.17139555,-1.0112339935045742,-0.043548718374069435,0.00043999999999999595,0.0006299999999999084,0.0002300000000001745,0.0013000000000000789,-0.00024141469008376326,-0.0007238945526935048,1,1.1935511976480484,-2.8821255098372474,-0.14933918280495517
